# 動画: ୨୧ 昼活 / 雑談 ୨୧ 挨拶200人目標☀️みんなのお名前呼ばせてください！初見さん・ROM勢さんも大歓迎✨️【 #真白猫ミミィ / #vtuber 】
# URL: https://www.youtube.com/watch?v=8E8Lc8Qs33s
# 抽出日: 2026-02-20 16:29:29
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
0:29 OP
3:00 挨拶
11:01 どこだ♪どこだ♪
15:05 ガチ恋距離（猫パンチ）
17:54 どこだ♪どこだ♪
18:20 ４時半起きてた人どれくらい？
20:50 ルルってなに？
25:42 ホラゲ
26:28 15分遅れ？
27:00 好きな食べ物
29:35 花粉
30:08 どこだ♪どこだ♪
33:03 鼻かみASMR
35:01 無事マック行けた
35:46 うれし♪うれし♪
37:56 ホラゲから逃げれない
38:21 どこだ♪どこだ♪
38:49 天気悪い
42:50 外出する？
44:13 お水
45:40 ドンキ
46:35 ふっはっは
50:03 どこだ♪どこだ♪
51:30 足首掴んでるから
52:56 絆創膏1000枚分
53:06 生姜焼き作る
53:46 タイピング音
56:32 初めての14時
57:44 無料じゃないよ
1:04:33 どこだ♪どこだ♪
1:05:57 ぶちゅちゅ
1:09:16 どこだ♪どこだ♪
1:10:58 蜂蜜大根
1:13:14 キラーン
1:14:48 ガチ恋距離「ウインク」
1:19:00 千枚漬ける！？（千枚漬け）
1:21:41 にふ（煮沸消毒）
1:22:54 どこだ♪どこだ♪
1:23:08 フライパン
1:23:51 うれし♪うれし♪
1:24:40 台パン
1:25:33 タイピング音
1:28:10 クッキーください
1:28:47 ガチ恋距離「耳」
1:34:04 3時のおやつ食べた？
1:37:06 ぜひでし？
1:38:00 ケーキのろうそく消し
1:38:45 八百万
1:39:27 キャベツの千切り
1:42:28 シュークリーム何派？
1:42:55 リングフィット
1:43:47 やおろず？
1:44:01 せんにんてのひら（仙人掌）
1:50:04 英語
1:52:04 ビックリ顔
1:57:00 Swich2抽選条件
1:58:50 嚙んだ
2:02:34 ぬいぐるみ抱っこ
2:03:52 一瞬消えた
2:03:54 口パクパク
2:06:37 ましろねより可愛くて
2:06:45 台パン
2:07:54 Swichチュー
2:09:08 清楚？
2:10:54 飲み物クイズ
┗2:20:41 答え
2:11:22 チチチチ
2:20:03 チチチチ
2:21:54 ほわー
2:22:48 ぷらしゅ
2:26:50 ベビー
2:30:57 挨拶
2:38:15 ガチ恋距離
2:39:41 ED

