# 動画: 【 利用規約に同意したい 】今日こそクリアしたい！！！同意させてくださいいい！！！【 真白猫ミミィ / vtuber 】
# URL: https://www.youtube.com/watch?v=Bhq5iWEMmjg
# 抽出日: 2026-02-20 15:50:17
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
1:35 OP
3:46 挨拶
4:16 起床12時50分
5:53 いつも？（清楚）
7:48 照れ顔涙目ガチ恋距離
11:47 任せといて
13:14 8時間は寝た
18:51 にゃん
24:04 任せといて
26:12 任せといて
28:23 任せといて
29:21 事務所NG
35:22 ゴクゴク
37:04 画面移動
39:14 態度大きめ（台パン）
____________________
40:29 スタート
43:42 苦手
44:17 まぁー
45:24 台パン
46:09 【2回目】
47:13 ふぇーにゃん
48:25 苦手
48:44 うぇー
50:37 あっ
51:57 【3回目】
53:21 クッキング
54:07 あー
57:42 【4回目】
1:00:07 間違えた
1:00:37 いけた
1:03:30 あっ
1:03:59 【5回目】
1:05:07 どこ～
1:08:40 どゆこと？
1:09:00 やめてー
1:09:41 【6回目】
1:12:06 これかー
1:14:24 なにこれー
1:15:36 あー
1:16:34 【7回目】
1:20:45 危ないよー（なぜそうなった）
1:22:13 諦めた
1:23:07 【8回目】
1:23:50 ここからは入れる保険
1:24:09 【9回目】
1:24:23 左近寺？（鱗だき）
1:25:31 好きな部位
1:29:30 ダルマ落とし
1:30:34 得意
1:30:39 得意じゃないかも
1:32:11 【10回目】
1:32:19 愛or金
1:33:20 嘘ついたことある（ありません）
1:34:05 せけんたい（世間体）
1:40:10 いー
1:40:48 任せといて
1:41:32 なにこれ
1:43:47 ひぃー
1:45:09 あー（台パン）
1:46:41 【11回目】
1:47:00 お金
1:49:42 ひぃー
1:49:50 なにこれ
1:52:07 【12回目】
1:54:56 わかりませーん
1:55:18 【13回目】
1:56:44 えー
1:58:44 えー
1:58:52 はらら
2:02:13 いー
2:02:28 【14回目】
2:03:13 やばーい
2:04:16 【15回目】
2:05:54 わぁー
2:06:47 わあー
2:07:30 【16回目】
2:08:03 計算
2:10:02 たぁー
2:10:52 【17回目】
2:15:23 あー
2:16:29 【18回目】
2:20:23 【19回目】
2:22:49 萌え萌えキュン
2:23:43 【20回目】
2:25:43 ぷんぷん
2:27:27 得意
2:30:00 けっこうまずい（台パン）
2:30:52 【21回目】
2:32:42 ひぃー
2:32:56 【22回目】
2:35:10 【23回目】
2:37:00 ひぃー
2:39:08 あー
2:39:48 【24回目】
2:40:40 任せといて
2:42:06 クッキング
2:44:04 ひぃー
2:49:15 はぁー
2:51:21 【25回目】
2:55:59 オワタ
2:56:59 【26回目】
2:57:33 えー
2:59:47 ダーツ
3:00:49 【27回目】
3:03:20 ダーツ
3:03:53 【28回目】
3:08:38 なーんで？
3:09:47 なぜ立ってる？
3:12:47 【29回目】
3:18:10 どこいったー
3:18:19 台パン
3:19:06 【30回目】
3:21:38 あー（台パン）
3:22:37 【31回目】
3:25:45 あー
3:25:51 【32回目】
3:28:50 ダーツ
3:29:05 たわし
3:29:32 たわし
3:30:20 【33回目】
3:33:57 ミリオネア
3:34:03 クワトム
3:36:00 どうですか？
3:36:34 教えてくれてたのに
3:37:04 【34回目】
3:38:46 あー
3:39:30 【35回目】
3:44:14 たぁー
3:45:00 【36回目】
3:46:14 うぇー
3:47:04 【37回目】
3:47:32 計算
3:48:07 たわし
3:49:00 カジュアル（38回目）
3:49:06 お金
3:50:26 たわし
3:51:09 シャッフルリトライ
3:54:00 たわしで運動
3:54:44 ミリオネア
3:56:27 答え一覧
3:57:00 マインスイーパー
3:57:46 リトライ
4:00:04 台パン
4:00:12 リトライ
4:01:04 なんでやねん
4:02:04 リトライ
4:04:46 台パン
4:05:01 リトライ
4:06:51 リトライ
4:08:16 なんでやねん
4:08:42 シャッフルリトライ
4:10:13 弾幕
4:10:33 ちょちょ
4:10:37 リトライ
4:11:26 うぇ
4:11:50 精神は
4:12:06 リトライ
4:12:57 なんで
4:13:47 リトライ
4:14:10 なんでやねん
4:14:20 リトライ
4:15:14 なんでー
4:16:01 シャッフルリトライ
4:16:09 爆弾解除
4:18:27 リトライ
4:19:19 なんでやねん
4:19:50 あれ？
4:20:06 リトライ
4:21:36 パズル
4:21:50 任せといて
4:23:24 本編（アクションゲーム）
4:23:31 なんでー
4:23:38 なんでー
4:23:56 なんでやねん
4:24:21 なんでやねん
4:25:17 なんでやねん
4:25:21 台パン

4:28:50 次回完結へ？
4:30:23 レコード機能
____________________
4:33:17 クリア耐久？
4:38:31 ヤケ酒
4:40:14 次回ラスト
4:41:54 挨拶
4:43:37 ごはん
4:44:14 ED
4:45:00 Cパート

